kunta,ammatti,muu_tuki,lainat,etunimi,omat_varat,kulut_kaikki,yritys_tuki,puolue_lyh,rahoitus_kaikki,valitetty_tuki,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,yksityinen_tuki,puolue_tuki
Espoo,"tekniikan tohtori, erikoistutkija",0,0,Jari,8423,9663,0,VIHR,9663,0,1020,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Ihonen,220,0
Raasepori,"marinbiolog, dosentti",0,0,Marko,4000,10500,300,VIHR,10500,0,2500,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Reinikainen,3700,0
Espoo,"diplomi-insinööri, kansanedustaja",416,0,Johanna,22361,28542,0,VIHR,28542,0,490,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Karimäki,5274,0
Helsinki,"kansanedustaja, oikeusministeri",500,0,Tuija,22780,26000,0,VIHR,26000,0,220,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Brax,2500,0
Askola,maatalous-metsätieteiden ylioppilas,0,0,Reija-Riikka,590,1439,0,VIHR,1439,0,849,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Stenbäck,0,0
Porvoo,"sarjakuvapiirtäjä, serietecknare",0,5000,Kaisa,3830,16000,0,VIHR,16000,0,5670,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Leka,1500,0
Kirkkonummi,"terveystieteiden maisteri, opettaja",0,0,Pauliina,34750,35700,0,VIHR,36000,0,1250,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Juntunen,0,0
Järvenpää,"rehtori, pianonsoitonopettaja",0,5000,Kaisa,610,12,0,VIHR,12,0,2500,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Saarikorpi,4000,0
Espoo,koreografi,0,0,Tuomo,2630,3100,0,VIHR,3100,0,100,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Railo,100,270
Helsinki,tutkimusprofessori,0,0,Heikki,7000,9345,0,VIHR,10000,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Hiilamo,3000,0
Turku,pastori,0,0,Kari,1590,1650,0,VIHR,1650,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Kanala,60,0
Vantaa,"kasvatustieteiden maisteri, päivähoidon suunnittelija",0,0,Mikko,4285,5850,812,VIHR,5850,0,88,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Mäkelä,665,0
Kerava,"terveydenhoitaja, sairaanhoitaja",125,0,Kirsi,9000,20200,1628,VIHR,20200,1745,6220,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Kanerva-Poranen,1482,0
Loviisa,luomuyrittäjä,0,0,Janne,600,1400,250,VIHR,1400,0,450,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Länsipuro,150,0
Vantaa,"erityisopettaja, kansanedustaja",0,0,Timo,25578,26843,0,VIHR,26843,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Juurikkala,1265,0
Espoo,"valtiotieteiden maisteri, yhdyskuntasuunnittelija",0,0,Merva,24,25,0,VIHR,25,0,800,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Mikkola,80,0
Espoo,"maatalous- ja metsätieteiden maisteri, kunta-asioiden sihtee",0,0,Tiina,6000,27560,0,VIHR,27560,0,470,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Elo,21090,0
Vantaa,"filosofian maisteri, tiedottaja MTi",0,0,Erja,8800,18635,250,VIHR,18635,0,340,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Hakkarainen,9245,0
Vantaa,"ympäristötekniikan Master of Science, kouluttaja",2900,0,Sirpa Siru,14000,23000,0,VIHR,23000,0,100,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Kauppinen,6000,0
Vantaa,"maa- ja metsätaloustieteiden maisteri, metsänhoitaja",0,480,Anniina,8750,12750,300,VIHR,12750,0,220,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Kostilainen,3000,0
Helsinki,"näyttelijä, yrittäjä",0,0,Jani,3282,11400,400,VIHR,11400,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Toivola,7718,0
Hyvinkää,toimittaja,0,0,Helena,1200,3398,0,VIHR,3719,15,2069,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Lustig,435,0
Mäntsälä,"luottamusmies, stuertti",100,0,Sami Mikael,200,1648,212,VAS,1872,0,800,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Heikkilä,515,0
Lohja,"kasvatustieteen maisteri, rehtori",0,0,Hannu Johannes,500,7000,0,VAS,7000,0,6000,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Makkonen,500,0
Loviisa,"sairaanhoitaja, kotiäiti",6300,0,Armi Maarit,3400,12800,600,VAS,12800,0,1200,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Lindell,1300,0
Vantaa,kiinteistöhuoltaja,0,0,Mikko Tapani,0,0,500,VAS,2860,2100,200,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Mielonen,10,0
Raasepori,"johtava sosiaalityöntekijä, ledande socialarbetare",0,0,Harry Juhani,1000,1500,0,VAS,1500,0,500,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Yltävä,0,0
Vihti,"filosofian maisteri, kehittämisjohtaja",11340,0,Sari Outi Susanna,500,21775,0,VAS,21775,0,2000,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Virta,7435,500
Vantaa,"postinjakaja, luottamusmies",750,0,Reko Mauno Ilmari,1000,3305,0,VAS,3305,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Ravela,1555,0
Espoo,kiinteistönhoitaja,0,0,Heikki Veini,0,1400,0,VAS,1500,0,1500,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Järveläinen,0,0
Askola,teollisuustyöntekijä,4000,0,Tero Martti,500,4700,0,VAS,4700,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Aaltonen,200,0
Nurmijärvi,"sairaanhoitaja, työnohjaaja",0,0,Marja Leena,0,2000,0,VAS,2000,0,1900,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Tuomisto,100,0
Vantaa,"maatalous-  ja metsätieteiden maisteri, projektipäällikkö",6000,0,Kati Kyllikki,5000,15000,0,VAS,15000,0,2000,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Tyystjärvi,2000,0
Vantaa,taksiautoilija,0,0,Ahti Johannes,1850,3500,0,VAS,3500,0,250,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Dahl,1400,0
Siuntio,kenttämies,0,0,Veikko Antero,300,2000,0,VAS,1700,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Tanskanen,0,0
Kirkkonummi,"filosofian kandidaatti, tähtitieteilijä",0,0,Seppo Samuli,160,700,0,VAS,700,0,540,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Linnaluoto,0,0
Vantaa,opiskelija,2550,0,Antti Pekka,100,2875,0,VAS,2875,225,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Hartikainen,0,0
Vantaa,toimittaja,3400,12000,Eino Antero,12000,30400,0,VAS,30400,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Eerola,15000,0
Espoo,"sosionomi AMK, päihde- ja mielenterveystyöntekijä",0,0,Tiina Marjo Anniina,350,2390,0,VAS,2000,0,2000,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Ahlfors,0,0
Nummi-Pusula,diplomi-insinööri,0,0,Sanna Johanna,100,200,0,VAS,0,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Puranen,100,0
Vantaa,"puolueen poliittinen sihteeri, tietotekniikan asentaja",3200,0,Jussi Antero,19800,26000,0,VAS,26000,0,500,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Saramo,2500,0
Vantaa,"pääluottamusmies, kirvesmies",3163,0,Jari Tapani,3500,7463,500,VAS,7463,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Jääskeläinen,300,0
Vihti,"valtiotieteiden  kandidaatti, opiskelija",750,0,Marissa Eveliina,860,2890,0,VAS,2890,0,0,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Varmavuori,1280,0
Kerava,"valtiotieteiden maisteri, järjestö- ja koulutuspäällikkö",5000,0,Pia Marjaana,1682,16341,0,VAS,16341,4956,1000,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Lohikoski,2702,1000
Espoo,kansanedustaja,9460,0,Kari Antero,15000,30000,0,VAS,30000,0,3540,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Uotila,2000,0
Espoo,rehtori,0,0,Jukka Tapio,3000,4500,0,VAS,4500,0,1500,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Karhula,0,0
Vantaa,"valtiotieteen maisteri, toimittaja",0,0,Pirkko Sinikka,9000,16900,0,VAS,16900,500,1400,Vasemmistoliitto r.p.,Uudenmaan vaalipiiri,Kotila,6000,0
Tuusula,"myymäläpäällikkö, alueluottamusmies",1700,0,Terhi Tuulikki,0,3000,1000,SDP,3000,0,0,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Raatesalmi-Salonen,300,0
Vantaa,"valtiotieteen tohtori, kansanedustaja",9000,30000,Kimmo Roobert,0,40000,0,SDP,40000,0,0,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Kiljunen,1000,0
Espoo,"professor, ylilääkäri",0,0,Sven Fredrik,4000,6000,0,SDP,6000,0,1500,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Almqvist,500,0
Raasepori,"kansanedustaja, riksdagsledamot",6500,0,Maarit Kristiina,0,0,2350,SDP,0,0,14650,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Feldt-Ranta,7105,0
Helsinki,työelämän asiantuntija,37600,0,Lauri Armas,2500,46500,6400,SDP,46500,0,0,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Ihalainen,0,0
Järvenpää,"hallintotieteiden ylioppilas, opiskelija",400,0,Pekka Viljami,300,13250,0,SDP,13250,0,11500,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Tuuri,1050,0
Vantaa,yrittäjä,0,0,Marko Mikael,6000,6000,0,SDP,6000,0,0,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Massinen,0,0
Helsinki,"poliisi, ensihoitaja-sairaanhoitaja AMK",0,0,Mari Pia Susanna,932,1493,0,SDP,1512,0,0,Suomen Sosialidemokraattinen Puolue,Uudenmaan vaalipiiri,Rantanen,580,0
Kauniainen,"valtiotieteen maisteri, ministerin erityisavustaja",0,0,Miia Susanna,2500,3500,0,RKP,3500,0,0,Suomen ruotsalainen kansanpuolue r.p.,Uudenmaan vaalipiiri,Korpivaara,0,1000
Porvoo,"förbundssekreterare, politices studerande, liittosihteeri, o",0,0,Silja Maria,550,2050,0,RKP,2050,0,500,Suomen ruotsalainen kansanpuolue r.p.,Uudenmaan vaalipiiri,Borgarsdóttir Sandelin,0,1000
Vantaa,IT-kouluttaja,0,0,Marko Johannes,2672,6100,300,PS,6100,0,1000,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Nieminen,2128,0
Espoo,valtiotieteiden kandidaatti,0,0,Simon Jakob Benjamin,6047,6747,0,PS,6747,0,0,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Elo,700,0
Nurmijärvi,"filosofian tohtori, pääsihteeri",0,0,Jussi Lauri Juhani,7800,10000,0,PS,10000,0,400,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Niinistö,1800,0
Nummi-Pusula,nuoriso- ja vapaa-ajanohjaaja,0,0,Mikki Seponpoika,3140,3540,0,PS,3540,0,400,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Nieminen,0,0
Loviisa,koneteknikko,0,0,Kimmo Kalervo,100,600,0,PS,600,0,0,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Nykänen,100,400
Porvoo,"kansanedustaja, riksdagsledamot",0,0,Pirkko Anneli,9300,10000,0,PS,10000,0,700,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Ruohonen-Lerner,0,0
Järvenpää,"dosentti, ylilääkäri",0,0,Heikki Juhani,875,1500,0,PS,1500,0,625,Perussuomalaiset r.p.,Uudenmaan vaalipiiri,Tala,0,0
Helsinki,filosofian tohtori,0,0,Tuomas Tapio,40,40,0,PIR,40,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Korppi,0,0
Espoo,"tekniikan ylioppilas, Test Specialist",0,0,Janne Erkki Antero,0,2000,0,PIR,2000,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Paalijärvi,0,0
Espoo,opiskelija,0,0,Aarne Olavi,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Wallén,0,0
Espoo,tietoliikenneteknikko,0,0,Taivas Konsta,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Gogoljuk,0,0
Espoo,media-assistentti,0,0,Sari Kaarina,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Niemi,0,0
Espoo,"diplomi-insinööri, Internet-tutkija",0,0,Mikko Johannes,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Särelä,0,0
Espoo,ATK-asentaja,0,0,Joni Mikael,30,30,0,PIR,30,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Tarvainen,0,0
Joensuu,opiskelija,0,0,Ari Juhani,500,500,0,PIR,500,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Tervashonka,0,0
Helsinki,"taiteilija, opiskelija",0,0,Laura Emilia,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Toivola,0,0
Helsinki,"tekniikan kandidaatti, yrittäjä",0,0,Petter Paulus Daniel,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Junni,0,0
Helsinki,konsultti,0,0,Thomas Mikael,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Nybergh,0,0
Helsinki,"filosofian ylioppilas, ohjelmoija",0,0,Sampo Antero,0,130,0,PIR,130,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Syreeni,130,0
Espoo,"filosofian tohtori, biologi",0,0,Sampo Heikki,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Smolander,0,0
Espoo,"teknologia-alan yrittäjä, aikuisviihdenäyttelijä",0,0,Carl Oskar,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Elmgren,0,0
Hollola,"puolueen puheenjohtaja, järjestelmäasiantuntija",0,0,Pasi Petteri,900,1000,0,PIR,1000,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Palmulehto,100,0
Helsinki,projekti-insinööri,0,0,Pasi Antero,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Vähämartti,0,0
Helsinki,"puutarhuri, taiteilija",0,0,Taija Birgitta,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Chanth,0,0
Akaa,opiskelija,0,0,Tero Tapani,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Inha,0,0
Helsinki,"muusikko, lastenhoitaja",0,0,Henry Jan-Kristian,0,65,0,PIR,65,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Vistbacka,0,0
Helsinki,koneistaja,0,0,Ari Ilmari,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Vaarnas,0,0
Helsinki,tekninen asiantuntija,0,0,Aleksander,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Uudenmaan vaalipiiri,Torfayeh,0,0
Espoo,"teologian maisteri, pianisti",0,0,Richard Yrjänä,0,200,0,M11,200,0,0,Muutos 2011 r.p.,Uudenmaan vaalipiiri,Järnefelt,200,0
Kerava,rahoitusalan toimihenkilö,0,0,Martti Juhani,340,340,0,M11,340,0,0,Muutos 2011 r.p.,Uudenmaan vaalipiiri,Munne,0,0
Järvenpää,"ylitarkastaja, esseekirjailija",0,0,Eino Juhani,150,150,0,KOY,150,0,0,Köyhien Asialla r.p.,Uudenmaan vaalipiiri,Kahelin,0,0
Espoo,"diplomi-insinööri, kauppatieteiden maisteri",0,0,Elina Maria,20000,45000,0,KOK,45000,0,10000,Kansallinen Kokoomus r.p.,Uudenmaan vaalipiiri,Lepomäki,15000,0
Espoo,diplomi-insinööri,0,0,Jukka Petteri,8000,8000,0,KOK,8000,0,0,Kansallinen Kokoomus r.p.,Uudenmaan vaalipiiri,Järvinen,0,0
Espoo,"valtiotieteiden maisteri, tiedottaja MTi",0,0,Mari Laelia Susanna,21055,21055,0,KOK,21055,0,0,Kansallinen Kokoomus r.p.,Uudenmaan vaalipiiri,Nevalainen,0,0
Espoo,"kauppatieteiden maisteri, opettaja",0,0,Marika Kaarina,22000,25000,0,KOK,25000,0,0,Kansallinen Kokoomus r.p.,Uudenmaan vaalipiiri,Niemi,3000,0
Espoo,"hallintotieteen tohtori, kansanedustaja",0,0,Sanna,45150,47500,2020,KOK,47500,0,0,Kansallinen Kokoomus r.p.,Uudenmaan vaalipiiri,Lauslahti,330,0
Hyvinkää,"kasvatustieteiden maisteri, päivähoidon johtaja",0,0,Marja-Leena,3350,6000,0,KESK,6000,0,2500,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Laine,150,0
Sotkamo,"valtiotieteiden maisteri, maitoasiamies",0,0,Sami Antero,0,8105,7690,KESK,8105,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Kilpeläinen,415,0
Nurmijärvi,"elintarviketieteiden maisteri, tutkija",0,0,Virpi Marianna,2180,9423,0,KESK,9423,0,800,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Korhonen,6443,0
Vantaa,"kauppatieteiden maisteri, tuotepäällikkö",0,0,Saara Pauliina,1851,1851,0,KESK,1851,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Puukko,0,0
Vantaa,"pankkitoimihenkilö, toimintoluottamusmies",500,0,Pertti Tapani,886,1391,5,KESK,0,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Hallikainen,0,0
Askola,"agrologi, johtava talousneuvoja",0,0,Simo Antero,1900,15000,6500,KESK,15000,600,2000,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Sorsa,4000,0
Helsinki,"kansanedustaja, ympäristöministeri",3000,0,Paula Ilona,11000,33000,11000,KESK,33000,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Lehtomäki,8000,0
Pukkila,"maanviljelijä, postityöntekijä",0,0,Jukka Lauri Juhani,5000,12000,0,KESK,12000,6500,500,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Lehtimäki,0,0
Kirkkonummi,"agrologi, johtaja",0,0,Eero Uolevi,7500,15000,4100,KESK,15000,0,3000,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Lankia,400,0
Mäntsälä,eläinlääkäri,0,0,Kalevi Johannes,4800,10000,500,KESK,10000,0,4700,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Heinonen,0,0
Vantaa,"varatuomari, johtaja",0,0,Johannes Fredrik,9959,11479,1500,KESK,11479,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Hirvaskoski,20,0
Kerava,ylilääkäri,86,0,Kyösti Aatos,20594,33000,3700,KESK,33000,0,4000,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Haukipuro,4620,0
Lohja,talouspoliittinen sihteeri,0,0,Mika Johannes,2000,12000,3000,KESK,12000,0,4000,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Sivula,3000,0
Tuusula,kansanedustaja,500,0,Antti Samuli,12000,25000,1000,KESK,25000,0,0,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Kaikkonen,11500,0
Porvoo,"filosofian maisteri, terveydensuojelusuunnittelija",1200,0,Outi Anna-Leena,2500,8000,0,KESK,8000,0,3700,Suomen Keskusta r.p.,Uudenmaan vaalipiiri,Lankia,600,0
Järvenpää,humanististen tieteiden kandidaatti,0,0,Perttu Juhani,150,1900,0,KD,1709,0,190,Suomen Kristillisdemokraatit (KD),Uudenmaan vaalipiiri,Pulkkinen,1569,0
Espoo,ylioppilasmerkonomi,0,0,Marita Helena,3300,3300,0,,3300,0,0,"Yhteislistoihin kuulumattomien valitsijayhdistysten ehdokkaat Marttunen, Marita",Uudenmaan vaalipiiri,Marttunen,0,0
Loviisa,"tehdastyöntekijä, sähköasentaja",0,0,Per-David Alexander,0,0,0,,0,0,0,"Yhteislistoihin kuulumattomien valitsijayhdistysten ehdokkaat Salminen, Per-David",Uudenmaan vaalipiiri,Salminen,0,0
Helsinki,"koulutussuunnittelija, YTM",0,0,Taru,950,1770,0,VIHR,1770,0,220,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Anttonen,600,0
Joensuu,"yliopistonlehtori, KT",0,0,Risto,500,500,0,VIHR,500,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Ikonen,0,0
Joensuu,"yhteiskuntapolitiikan opiskelija, kaupunginvaltuutettu",0,0,Roope,1400,1560,0,VIHR,1560,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Tahvanainen,160,0
Joensuu,"seurakehittäjä, FM",0,0,Krista,8000,10220,0,VIHR,10220,0,220,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Mikkonen,2000,0
Joensuu,"terveystieteiden maisteri, lehtori",0,0,Mikko,1850,2200,0,VIHR,2200,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Häkkinen,350,0
Joensuu,hallintotieteiden ylioppilas,0,0,Jussi,415,1450,0,VIHR,1450,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Airaksinen,1035,0
Polvijärvi,"mehiläistarhuri AMK, musiikkiterapeutti B.M.",0,0,Christiana,900,900,0,VIHR,900,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Harle,0,0
Ilomantsi,"toimittaja, muusikko",0,0,Kari,450,500,0,VIHR,500,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Rissanen,50,0
Joensuu,"teatteriohjaaja, FM",0,0,Hannele,150,150,0,VIHR,150,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Autti,0,0
Joensuu,pääsihteeri,0,0,Minttu,963,1965,0,VIHR,1965,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Massinen,1002,0
Joensuu,ympäristöteknologian opiskelija,0,0,Johannes,125,150,0,VIHR,150,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Hänninen,25,0
Joensuu,sekatyömies,0,0,Juha,320,500,0,VIHR,500,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Hakulinen,180,0
Helsinki,"erityislastentarhanopettaja, toiminnanohjaaja",0,0,Inka,280,500,0,VIHR,500,0,220,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Kivi,0,0
Kitee,"kirvesmies, kolumnisti",1000,0,Auvo Isto Juhani,2600,5000,0,VAS,5000,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Rouvinen,1400,0
Kontiolahti,atk-suunnittelija,0,0,Tuomo Erik,250,1000,0,VAS,1000,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Tormulainen,750,0
Outokumpu,koneenasentaja,0,0,Timo Olavi,0,6600,0,VAS,6600,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Vänskä,0,0
Joensuu,kirvesmies,2000,0,Heikki Petteri,1000,0,0,VAS,4000,0,500,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Tahvanainen,500,0
Joensuu,yhteiskuntatieteiden kandidaatti,1700,0,Milla Marianne,100,2000,0,VAS,2000,1900,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Pyykkönen,200,0
Joensuu,"suurtalouskokki, yhteiskuntatieteiden ylioppilas",1100,0,Antti Juhani,0,1100,0,VAS,1100,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Saarelainen,0,0
Joensuu,yhteiskuntatieteiden ylioppilas,1350,0,Jaakko Juhani,0,2250,0,VAS,2250,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Turunen,900,0
Joensuu,"YTT, pääluottamusmies",0,0,Antero Olavi,2010,2200,0,VAS,2200,0,0,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Puhakka,190,0
Juuka,"opiskelija, toimistosihteeri",500,0,Ritva Johanna,500,3200,0,VAS,3200,0,200,Vasemmistoliitto r.p.,Pohjois-Karjalan vaalipiiri,Väyrynen,2000,0
Liperi,"KM, luokanopettaja",0,0,Sanna Marja Annukka,3000,7000,0,SDP,7000,0,3000,Suomen Sosialidemokraattinen Puolue,Pohjois-Karjalan vaalipiiri,Parkkinen,1000,0
Nurmes,toimitsija,6245,0,Ritva Tuulikki,0,7955,0,SDP,7955,0,1000,Suomen Sosialidemokraattinen Puolue,Pohjois-Karjalan vaalipiiri,Rautiainen,710,0
Joensuu,yhteiskuntatieteiden maisteri,3300,0,Riitta Mailis Mirjami,10000,17000,0,SDP,17000,0,3500,Suomen Sosialidemokraattinen Puolue,Pohjois-Karjalan vaalipiiri,Myller,200,0
Joensuu,toiminnanjohtaja,0,0,Marko Juhani,2000,5870,0,SDP,5870,0,3500,Suomen Sosialidemokraattinen Puolue,Pohjois-Karjalan vaalipiiri,Haakana,370,0
Joensuu,"terveystieteiden tohtori, työyhteisökouluttaja",0,0,Merja Elina,10250,14000,0,SDP,14000,0,3500,Suomen Sosialidemokraattinen Puolue,Pohjois-Karjalan vaalipiiri,Mäkisalo-Ropponen,250,0
Joensuu,"kansanedustaja, liikenneministeri",2200,0,Anu Helena,32000,49800,11950,KESK,49800,0,1150,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Vehviläinen,2500,0
Nurmes,yrittäjä,0,0,Hannu Valtteri,1000,10550,3000,KESK,11488,0,2888,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Mikkilä,4600,0
Joensuu,opettaja,0,0,Pekka Tero Tuomas,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Pohjois-Karjalan vaalipiiri,Mustonen,0,0
Joensuu,"alikonemestari, prosessinhoitaja",661,0,Ville Veikko Oskari,3585,7723,0,KESK,7723,500,2900,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Toivanen,80,0
Lieksa,erityisopettaja,0,0,Lea Irene,1000,9600,0,KESK,0,0,5600,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Oravalahti-Pehkonen,3000,0
Ilomantsi,kansanedustaja,0,0,Hannu Tapio,19000,38000,19000,KESK,38000,0,0,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Hoskonen,0,0
Liperi,"opiskelija, YTK",0,0,Jussi Heikki Oskari,5000,11000,0,KESK,11000,0,3000,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Sallinen,3000,0
Lempäälä,väestövastuulääkäri,0,0,Mirjaleena Kyllikki,180,230,0,VP,230,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Isoaho,50,0
